                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       1      |       2           | (-0.1500, -0.1500, -0.1500, -0.1500, 0.0000)  |    -0.5000     |   2.0000              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       2      |       4           | (-0.2184, -0.2184, -0.3322, -0.3322, 0.0000)  |    -0.8245     |   1.4236              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       3      |       6           | (-0.2481, -0.2481, -0.4574, -0.4574, 0.0000)  |    -0.9348     |   0.9071              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       4      |       8           | (-0.2431, -0.2431, -0.4807, -0.4807, 0.0000)  |    -0.9441     |   0.3588              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       5      |       9           | (-0.2204, -0.2204, -0.5174, -0.5174, 0.0000)  |    -0.9488     |   0.2201              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       6      |      11           | (-0.2226, -0.2226, -0.5132, -0.5132, 0.0000)  |    -0.9491     |   0.0695              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       7      |      13           | (-0.2240, -0.2240, -0.5110, -0.5110, 0.0000)  |    -0.9492     |   0.0368              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       8      |      15           | (-0.2247, -0.2247, -0.5097, -0.5097, 0.0000)  |    -0.9493     |   0.0186              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |       9      |      17           | (-0.2251, -0.2251, -0.5091, -0.5091, 0.0000)  |    -0.9493     |   0.0088              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |      10      |      19           | (-0.2252, -0.2252, -0.5088, -0.5088, 0.0000)  |    -0.9493     |   0.0042              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |      11      |      20           | (-0.2253, -0.2253, -0.5084, -0.5084, 0.0000)  |    -0.9493     |   0.0024              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |      12      |      22           | (-0.2252, -0.2252, -0.5085, -0.5085, 0.0000)  |    -0.9493     |   0.0012              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |      13      |      24           | (-0.2251, -0.2251, -0.5085, -0.5085, 0.0000)  |    -0.9493     |   0.0005              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |      14      |      25           | (-0.2251, -0.2251, -0.5085, -0.5085, 0.0000)  |    -0.9493     |   0.0003              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |      15      |      27           | (-0.2251, -0.2251, -0.5085, -0.5085, 0.0000)  |    -0.9493     |   0.0002              |
|  (0.0000, 0.0000, 0.0000, 0.0000, 0.0000)  |      16      |      28           | (-0.2251, -0.2251, -0.5085, -0.5085, 0.0000)  |    -0.9493     |   0.0001              |

                               Resultados computacionais pelo Método DFP
|               Ponto inicial                |# de iterações| # de cham. Armijo |              Ponto ótimo atual            |   Valor ótimo  |   Erro de aproximação |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       1      |       5           | (1.9702, 1.9702, 2.0026, 0.9658, 0.9632)  |    29.9980     |   361.7266              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       2      |       8           | (1.6468, 1.6468, 1.8449, 0.3252, 0.4227)  |    15.9263     |   38.3544              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       3      |      10           | (0.8071, 0.8071, 0.2504, 0.2555, 0.9324)  |    6.2973     |   16.7429              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       4      |      12           | (0.3162, 0.3162, 0.2760, -0.2272, 0.5904)  |    1.0669     |   11.8953              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       5      |      14           | (-0.0382, -0.0382, 0.1445, -0.3230, 0.5662)  |    -0.2128     |   3.2959              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       6      |      16           | (-0.1598, -0.1598, 0.0420, -0.4012, 0.5453)  |    -0.4990     |   1.7627              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       7      |      17           | (-0.3744, -0.3744, -0.1942, -0.6557, 0.4510)  |    -0.6962     |   1.2431              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       8      |      18           | (-0.1902, -0.1902, -0.0049, -0.7182, 0.3344)  |    -0.8534     |   1.6781              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |       9      |      20           | (-0.2365, -0.2365, -0.0798, -0.7705, 0.3307)  |    -0.9175     |   0.8291              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      10      |      22           | (-0.2517, -0.2517, -0.1238, -0.7997, 0.3302)  |    -0.9356     |   0.5089              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      11      |      23           | (-0.2486, -0.2486, -0.1915, -0.8456, 0.3318)  |    -0.9460     |   0.3519              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      12      |      25           | (-0.2376, -0.2376, -0.1803, -0.8384, 0.3311)  |    -0.9485     |   0.1812              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      13      |      27           | (-0.2322, -0.2322, -0.1766, -0.8364, 0.3307)  |    -0.9490     |   0.0880              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      14      |      28           | (-0.2233, -0.2233, -0.1739, -0.8360, 0.3298)  |    -0.9492     |   0.0516              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      15      |      30           | (-0.2248, -0.2248, -0.1761, -0.8374, 0.3301)  |    -0.9493     |   0.0286              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      16      |      32           | (-0.2253, -0.2253, -0.1771, -0.8380, 0.3303)  |    -0.9493     |   0.0125              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      17      |      34           | (-0.2254, -0.2254, -0.1776, -0.8383, 0.3303)  |    -0.9493     |   0.0067              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      18      |      35           | (-0.2253, -0.2253, -0.1782, -0.8389, 0.3304)  |    -0.9493     |   0.0045              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      19      |      37           | (-0.2252, -0.2252, -0.1782, -0.8388, 0.3303)  |    -0.9493     |   0.0014              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      20      |      39           | (-0.2252, -0.2252, -0.1781, -0.8388, 0.3303)  |    -0.9493     |   0.0007              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      21      |      40           | (-0.2251, -0.2251, -0.1781, -0.8388, 0.3303)  |    -0.9493     |   0.0004              |
|  (2.0000, 2.0000, 2.0000, 2.0000, 2.0000)  |      22      |      42           | (-0.2251, -0.2251, -0.1781, -0.8388, 0.3303)  |    -0.9493     |   0.0003              |
